transaction_id,customer_id,account_id,transaction_type,amount,transaction_date
1,1001,5001,withdrawal,170132.39,2025-07-17
2,1001,5001,withdrawal,9598.08,2024-01-13
3,1001,5001,withdrawal,32574.71,2024-02-24
4,1002,5002,transfer,3066.24,2025-12-10
5,1002,5002,withdrawal,5048.81,2024-02-14
6,1002,5002,transfer,2454.26,2025-12-22
7,1002,5002,withdrawal,6534.26,2024-08-12
8,1002,5002,payment,7025.39,2024-08-18
9,1003,5003,withdrawal,3027.25,2025-12-23
10,1003,5003,transfer,48191.02,2025-05-27
11,1003,5003,payment,1639.44,2024-12-16
12,1003,5003,transfer,1905.77,2025-03-26
13,1003,5003,deposit,2047.8,2024-03-03
14,1003,5003,deposit,24836.45,2025-05-19
15,1003,5003,deposit,4433.15,2025-09-21
16,1003,5003,deposit,6076.96,2025-05-09
17,1004,5004,withdrawal,36138.43,2024-11-26
18,1004,5004,payment,997.65,2024-08-25
19,1004,5004,payment,9292.67,2025-05-14
20,1004,5004,payment,15618.61,2025-08-14
21,1004,5004,withdrawal,45895.39,2025-01-31
22,1005,5005,payment,7411.09,2025-07-20
23,1005,5005,payment,19032.79,2024-07-21
24,1005,5005,withdrawal,16303.43,2024-12-11
25,1005,5005,transfer,12575.77,2025-09-20
26,1005,5005,withdrawal,7731.8,2025-09-11
27,1005,5005,transfer,59094.32,2024-01-21
28,1005,5005,deposit,16819.9,2025-05-06
29,1005,5005,transfer,6668.26,2024-09-23
30,1006,5006,withdrawal,55059.85,2025-08-30
31,1006,5006,payment,9524.92,2025-07-25
32,1006,5006,withdrawal,8357.84,2025-06-20
33,1006,5006,withdrawal,1758.41,2025-07-09
34,1007,5007,withdrawal,9002.87,2025-09-15
35,1007,5007,payment,2734.47,2025-08-21
36,1007,5007,withdrawal,1375.91,2025-04-24
37,1008,5008,payment,41171.71,2025-11-17
38,1008,5008,payment,8529.18,2025-09-10
39,1008,5008,transfer,1427.02,2024-09-24
40,1008,5008,withdrawal,4228.06,2024-04-24
41,1008,5008,deposit,18576.51,2024-03-24
42,1009,5009,withdrawal,13574.55,2024-06-02
43,1009,5009,deposit,2016.44,2024-09-29
44,1009,5009,withdrawal,424.24,2025-05-21
45,1009,5009,payment,11822.48,2024-05-05
46,1010,5010,transfer,2626.32,2025-12-27
47,1010,5010,payment,8573.56,2025-04-06
48,1010,5010,deposit,24781.65,2024-04-14
49,1010,5010,transfer,357.75,2025-03-27
50,1010,5010,withdrawal,13314.0,2024-01-12
51,1010,5010,withdrawal,1640.28,2025-08-01
52,1010,5010,transfer,2798.1,2024-09-10
53,1010,5010,transfer,70543.52,2024-10-20
54,1011,5011,withdrawal,33994.36,2025-04-02
55,1011,5011,transfer,10774.45,2024-04-20
56,1011,5011,payment,3850.0,2024-12-15
57,1012,5012,payment,8099.14,2024-11-23
58,1012,5012,withdrawal,4021.05,2025-05-08
59,1012,5012,payment,9030.9,2024-06-15
60,1012,5012,transfer,18004.8,2025-10-24
61,1012,5012,withdrawal,1942.2,2025-02-22
62,1012,5012,withdrawal,160.45,2025-02-10
63,1012,5012,payment,8106.61,2025-02-18
64,1013,5013,transfer,168139.16,2024-04-21
65,1013,5013,payment,17710.48,2024-06-10
66,1013,5013,payment,4134.11,2024-03-17
67,1013,5013,deposit,21761.11,2024-10-24
68,1014,5014,withdrawal,3226.86,2025-04-16
69,1014,5014,withdrawal,8360.98,2024-03-22
70,1014,5014,withdrawal,4140.76,2025-12-16
71,1014,5014,payment,11183.0,2024-09-15
72,1014,5014,payment,106476.41,2024-12-29
73,1015,5015,withdrawal,3785.12,2024-12-09
74,1015,5015,withdrawal,1529.25,2025-02-20
75,1015,5015,transfer,2785.57,2025-08-17
76,1015,5015,withdrawal,15820.31,2025-07-04
77,1016,5016,deposit,1043.46,2025-08-01
78,1016,5016,payment,255272.4,2025-09-25
79,1016,5016,withdrawal,21647.27,2025-10-18
80,1016,5016,transfer,13802.43,2025-10-22
81,1016,5016,payment,7230.59,2024-10-26
82,1016,5016,payment,36910.76,2024-10-18
83,1016,5016,deposit,1467.37,2025-10-11
84,1016,5016,withdrawal,1674.84,2025-07-14
85,1017,5017,payment,96384.72,2024-11-08
86,1017,5017,transfer,3560.58,2024-10-14
87,1017,5017,withdrawal,1433.1,2024-05-06
88,1017,5017,payment,4025.13,2025-11-12
89,1018,5018,payment,7186.97,2025-07-22
90,1018,5018,transfer,4246.22,2024-07-07
91,1018,5018,deposit,12905.92,2024-02-02
92,1019,5019,payment,1977.94,2025-06-23
93,1019,5019,payment,13772.13,2025-10-03
94,1019,5019,deposit,4985.68,2024-05-11
95,1019,5019,payment,15766.46,2024-12-16
96,1019,5019,withdrawal,7216.9,2025-05-06
97,1019,5019,payment,652.07,2024-08-28
98,1019,5019,withdrawal,2317.41,2025-10-28
99,1020,5020,deposit,23105.59,2025-04-30
100,1020,5020,withdrawal,30987.96,2025-08-14
101,1020,5020,payment,6366.67,2025-01-23
102,1020,5020,payment,136476.14,2025-08-15
103,1020,5020,payment,1126.67,2024-02-09
104,1020,5020,withdrawal,2624.44,2024-09-16
105,1021,5021,deposit,27567.41,2025-01-17
106,1021,5021,withdrawal,14725.25,2025-09-30
107,1021,5021,deposit,4042.59,2024-02-27
108,1021,5021,payment,3075.33,2025-10-28
109,1021,5021,withdrawal,4432.15,2025-09-09
110,1022,5022,payment,2843.95,2025-06-05
111,1022,5022,withdrawal,3123.36,2024-06-05
112,1022,5022,payment,91091.63,2024-08-16
113,1022,5022,payment,87981.29,2025-09-12
114,1022,5022,withdrawal,2952.24,2025-06-24
115,1022,5022,deposit,5787.12,2024-08-27
116,1022,5022,payment,7695.84,2025-05-28
117,1023,5023,deposit,26419.54,2024-09-09
118,1023,5023,transfer,1822.22,2025-12-24
119,1023,5023,payment,18852.11,2025-10-19
120,1023,5023,payment,52793.42,2025-01-31
121,1024,5024,withdrawal,20159.62,2024-12-14
122,1024,5024,deposit,5528.93,2025-02-19
123,1024,5024,deposit,14238.87,2024-09-06
124,1025,5025,deposit,385.52,2024-12-16
125,1025,5025,deposit,6181.58,2025-06-24
126,1025,5025,transfer,45642.23,2024-12-04
127,1025,5025,payment,18548.59,2024-05-01
128,1025,5025,payment,8779.87,2025-06-18
129,1025,5025,deposit,27119.38,2025-04-06
130,1025,5025,payment,3097.8,2024-01-24
131,1026,5026,withdrawal,6515.99,2024-12-10
132,1026,5026,withdrawal,9852.42,2025-07-21
133,1026,5026,withdrawal,1456.46,2025-01-06
134,1026,5026,payment,935.79,2024-11-15
135,1026,5026,transfer,374.59,2025-08-03
136,1027,5027,payment,157135.69,2024-07-01
137,1027,5027,withdrawal,9579.49,2024-11-25
138,1027,5027,payment,20892.27,2025-04-15
139,1027,5027,deposit,9507.2,2025-03-13
140,1027,5027,deposit,2900.07,2025-03-23
141,1027,5027,transfer,10024.0,2024-06-29
142,1027,5027,withdrawal,118102.6,2025-05-30
143,1028,5028,payment,81285.22,2024-03-27
144,1028,5028,withdrawal,13004.55,2024-03-13
145,1028,5028,transfer,827.13,2024-08-23
146,1028,5028,withdrawal,99444.88,2025-08-07
147,1028,5028,deposit,3432.14,2025-11-04
148,1028,5028,transfer,4510.02,2025-05-09
149,1029,5029,transfer,3626.46,2024-12-07
150,1029,5029,withdrawal,6896.52,2025-01-31
151,1029,5029,withdrawal,611.35,2024-01-17
152,1029,5029,transfer,4178.89,2025-08-18
153,1030,5030,deposit,12288.74,2025-10-05
154,1030,5030,withdrawal,40594.73,2024-12-05
155,1030,5030,payment,408.43,2025-12-01
156,1030,5030,payment,19215.61,2025-10-22
157,1030,5030,deposit,7409.27,2025-09-14
158,1030,5030,transfer,29469.57,2024-03-18
159,1031,5031,payment,1825.64,2024-10-30
160,1031,5031,payment,2746.24,2025-10-15
161,1031,5031,transfer,743.8,2025-07-24
162,1032,5032,deposit,3900.48,2025-05-29
163,1032,5032,transfer,862.36,2025-06-15
164,1032,5032,transfer,17576.06,2024-05-20
165,1032,5032,transfer,943.58,2024-05-31
166,1032,5032,payment,15379.3,2025-01-20
167,1033,5033,deposit,16339.6,2024-06-20
168,1033,5033,deposit,13425.54,2024-12-02
169,1033,5033,payment,3266.77,2025-10-27
170,1033,5033,withdrawal,16277.65,2024-07-27
171,1033,5033,payment,37937.23,2024-02-17
172,1033,5033,withdrawal,789.14,2024-01-31
173,1033,5033,transfer,46671.84,2025-10-12
174,1034,5034,transfer,3098.67,2024-09-11
175,1034,5034,withdrawal,3065.04,2024-11-20
176,1034,5034,deposit,202995.52,2025-02-06
177,1034,5034,transfer,66283.76,2024-05-25
178,1034,5034,deposit,60470.17,2024-04-05
179,1034,5034,deposit,1168.63,2024-01-02
180,1034,5034,withdrawal,10426.42,2025-05-04
181,1035,5035,transfer,21843.4,2024-01-26
182,1035,5035,withdrawal,6674.45,2024-12-15
183,1035,5035,withdrawal,911.72,2024-01-30
184,1036,5036,transfer,15740.53,2024-05-12
185,1036,5036,payment,15128.22,2024-02-10
186,1036,5036,payment,4522.82,2025-05-12
187,1036,5036,payment,12008.25,2025-10-25
188,1036,5036,payment,112084.91,2025-04-03
189,1037,5037,transfer,195543.68,2024-02-22
190,1037,5037,payment,6440.06,2024-05-07
191,1037,5037,transfer,264.24,2024-05-19
192,1037,5037,withdrawal,2730.67,2024-08-19
193,1038,5038,payment,61990.9,2025-09-28
194,1038,5038,deposit,27669.19,2025-01-22
195,1038,5038,deposit,8030.28,2025-06-29
196,1038,5038,withdrawal,31014.56,2025-10-14
197,1038,5038,transfer,890.12,2025-05-16
198,1038,5038,deposit,3915.03,2024-03-15
199,1038,5038,payment,456911.5,2024-08-30
200,1039,5039,withdrawal,12340.88,2025-06-26
201,1039,5039,deposit,3682.85,2025-03-05
202,1039,5039,deposit,7021.28,2024-03-16
203,1040,5040,deposit,1394.74,2025-10-01
204,1040,5040,withdrawal,5212.83,2024-11-24
205,1040,5040,transfer,9399.29,2025-04-20
206,1040,5040,payment,2430.91,2025-12-29
207,1040,5040,withdrawal,68064.18,2025-03-03
208,1041,5041,payment,35293.66,2025-12-07
209,1041,5041,payment,7835.96,2025-11-08
210,1041,5041,withdrawal,3013.71,2025-05-05
211,1041,5041,withdrawal,13080.81,2025-11-29
212,1041,5041,payment,31477.64,2024-10-01
213,1042,5042,transfer,6392.92,2024-12-26
214,1042,5042,transfer,4619.5,2024-11-05
215,1042,5042,withdrawal,161424.46,2025-10-24
216,1042,5042,transfer,7602.67,2024-11-10
217,1042,5042,deposit,102949.83,2025-07-31
218,1042,5042,transfer,3017.22,2024-12-27
219,1043,5043,transfer,3845.94,2024-10-01
220,1043,5043,withdrawal,3314.77,2025-01-30
221,1043,5043,deposit,30466.56,2025-02-07
222,1043,5043,deposit,625.91,2025-10-05
223,1043,5043,transfer,658.96,2024-08-12
224,1043,5043,payment,4805.19,2025-10-12
225,1044,5044,deposit,14326.44,2024-11-08
226,1044,5044,deposit,427.87,2025-10-11
227,1044,5044,deposit,10748.47,2025-08-20
228,1045,5045,withdrawal,3973.18,2025-07-16
229,1045,5045,payment,14935.57,2024-01-02
230,1045,5045,payment,4008.72,2025-08-25
231,1045,5045,withdrawal,134.57,2025-04-16
232,1045,5045,transfer,160928.43,2024-10-30
233,1045,5045,withdrawal,4668.1,2025-06-01
234,1045,5045,withdrawal,28699.48,2024-05-30
235,1046,5046,withdrawal,3142.78,2024-01-30
236,1046,5046,withdrawal,4872.44,2025-04-09
237,1046,5046,deposit,161050.49,2025-04-17
238,1046,5046,transfer,14621.42,2025-06-19
239,1046,5046,withdrawal,1256.53,2025-03-10
240,1046,5046,transfer,14784.96,2025-09-19
241,1047,5047,payment,3099.15,2025-10-28
